,id,pid,ms_subclass,ms_zoning,lot_area,street,regular_lot,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_floors,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,fancy_masonry,mas_vnr_area,exter_exc,exter_cond,conc_found,bsmt_exc,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_exc,central_air,stand_elec,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_exc,totrms_abvgrd,functional,fireplaces,garage_connect,garage_cars,garage_area,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,sell_diff,remod_diff,remod_x_sell,salepricelog,over_exc,qual_sqaure,exc_x_qual
2,153,535304180,20,RL,7922,Pave,1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.0,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,0,Gd,0,0,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,0,1,1,1057,0,0,1057,1.0,0.0,1,0,3,1,1,5,Typ,0,0,1.0,246.0,1,0,52,0,0,0,No,0,1,2010,WD ,109000,57,3,171,11.59910316121128,1,25,25
6,2827,908186070,180,RM,3675,Pave,1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1.5,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,1,82.0,0,TA,1,1,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,1,1,1,1072,0,0,1072,1.0,0.0,2,0,2,1,0,5,Typ,0,0,2.0,525.0,1,0,44,0,0,0,No,0,6,2006,New,140000,1,0,0,11.84939770159144,4,36,144
10,1044,527451290,160,RM,1680,Pave,1,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2.0,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,1,232.0,0,TA,0,0,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,0,1,1,483,504,0,987,0.0,0.0,1,1,2,1,0,4,Typ,0,0,1.0,264.0,1,0,0,0,0,0,No,0,7,2008,COD,85400,37,37,1369,11.355101379776661,0,36,0
11,2752,906380150,20,RL,7488,Pave,0,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.0,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,0,0.0,1,TA,1,1,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,1,1,1,1208,0,0,1208,0.0,0.0,2,0,2,1,1,6,Typ,0,1,2.0,632.0,1,105,58,0,0,0,No,0,2,2006,WD ,183600,1,1,1,12.120514757168527,16,49,784
13,1177,533236070,160,FV,2645,Pave,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2.0,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,1,456.0,1,TA,1,1,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,1,1,1,962,645,0,1607,1.0,0.0,2,1,3,1,1,7,Typ,0,0,2.0,480.0,1,169,0,0,0,0,No,0,12,2008,ConLD,200000,9,8,72,12.206072645530174,16,64,1024
16,1311,902301140,70,RM,4571,Pave,1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.0,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,0,0.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,0,0,1,624,720,0,1344,0.0,0.0,1,0,4,1,0,7,Typ,0,0,3.0,513.0,1,0,0,96,0,0,No,0,5,2008,COD,98000,92,58,5336,11.49272275765271,0,25,0
21,351,527131030,120,RL,5664,Pave,0,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1.0,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,0,0.0,1,TA,1,1,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,1,1,1,1659,0,0,1659,1.0,0.0,2,0,2,1,1,5,Typ,1,1,2.0,499.0,1,212,59,0,0,0,No,0,10,2009,WD ,278000,9,9,81,12.535376392672774,16,64,1024
23,12,527165230,20,RL,7980,Pave,0,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1.0,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,0,0.0,0,Gd,1,1,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,1,1,1,1187,0,0,1187,1.0,0.0,2,0,3,1,0,6,Typ,0,1,2.0,420.0,1,483,21,0,0,0,GdPrv,500,3,2010,WD ,185000,18,3,54,12.128111104060462,4,36,144
36,2910,923225240,160,RM,2665,Pave,1,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2.0,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,0,0.0,0,TA,1,0,TA,No,ALQ,548.0,Rec,173.0,36.0,757.0,GasA,1,1,1,925,550,0,1475,0.0,0.0,2,0,4,1,0,6,Typ,1,1,1.0,336.0,1,104,26,0,0,0,No,0,7,2006,WD ,127000,29,29,841,11.751942365440728,1,25,25
47,1532,909275050,70,RL,7200,Pave,1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2.0,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,0,0.0,0,Fa,0,1,TA,No,Unf,0.0,Unf,0.0,776.0,776.0,GasA,0,1,1,851,651,0,1502,0.0,0.0,1,1,3,1,0,6,Typ,1,1,1.0,270.0,0,0,0,112,0,0,MnPrv,0,2,2008,WD ,149000,77,8,616,11.911701584927597,1,49,49
